TRAVEL_ID,POI_ID,POI_NM
d_d007755,POI01000000CB7GDJ,스마트빌
d_d002683,POI010000006VVS9T,제주팔레스호텔
d_d001730,POI01000000CDA88B,모살밭휴게소
d_d005110,POI0100000078QIFY,우리희망이게스트하우스
d_d007570,POI01000000BSCMVS,메종글래드제주호텔
d_d000158,POI01000000EG9GN2,조랑말박물관
a_a001606,POI01000000C1K0OH,길음1차삼성래미안아파트/115동
d_d002895,POI01000000BZ22LV,상효원식물원
d_d003463,POI0100000078QHZH,제주비치호텔함덕
d_d007735,POI01000000EG7OBW,보롬왓
d_d003519,POI010000006W7JSG,SK법환주유소
d_d000693,POI01000000CVZU95,힐링스킨케어
d_d005759,POI01000000C9KD0E,띠모아빌7차
d_d000530,POI01000000EG7PBX,제주신라호텔
d_d003681,POI01000000B241S6,서울숲공원
d_d001601,POI01000000B31Y5E,오설록티뮤지엄
d_d000388,POI01000000EG3SYJ,흑돈가본관
d_d000973,POI01000000B307M3,말자하우스
d_d002571,POI01000000BZ0ZDI,황사평공원묘지
d_d004166,POI01000000ALBVGD,제주신화월드테마파크
d_d006783,POI01000000B33K85,현대오일뱅크남문주유소
d_d006232,POI01000000BZ1Z39,천지연폭포
d_d001232,POI01000000B31QBC,성이시돌목장
a_a002903,POI01000000C5VV03,씨티빌
a_a001118,POI010000006EHMTC,엠클리프카페
d_d012399,POI01000000B327N6,플레이스
c_c002434,POI010000006BNIEW,연포리조트연수원
c_c003390,POI01000000BXPQ1K,경포해수욕장
d_d001038,POI01000000EG7TC2,아르떼뮤지엄
d_d001209,POI01000000EHG9GW,성산일출봉
d_d012341,POI01000000B3572O,한라수목원
d_d012298,POI01000000ALAFJZ,웨스턴그레이스호텔
d_d009374,POI0100000078KMHY,그리고세화게스트하우스
d_d008962,POI01000000BG6W1Q,휘닉스아일랜드
d_d009002,POI01000000E862RH,제주조각공원버스정류장
b_b002113,POI01000000EGB719,청안빌딩
d_d004684,POI01000000C9JKEY,더하우스
d_d005241,POI01000000E873A2,견월교
d_d002406,POI01000000B34YIU,썬렌트카
d_d001934,POI01000000B31Y5E,오설록티뮤지엄
d_d001720,POI01000000ALD37E,삼양동해녀탈의장
d_d010768,POI01000000B3400E,스카이워터쇼
d_d000418,POI01000000B351CS,에코티엘오피스텔
d_d001621,POI01000000BGQ1M0,거제고현시장
d_d009381,POI01000000ALC6KT,한림공원
d_d001699,POI0100000078LR5S,삼광빌딩
d_d000142,POI01000000D8DEOW,베롱베롱인행원
d_d002467,POI01000000BZ28BR,서귀포시국민체육센터서부도서관
d_d002428,POI010000006VWMBQ,동문시장
d_d004838,POI01000000E85UFW,송학펜션산지버스정류장
d_d011430,POI01000000E8720R,충혼묘지
d_d010758,POI010000006W49X8,켄싱턴리조트
d_d012332,POI01000000B34SJP,흙돼지가있는풍경본점
b_b000483,POI01000000EVJX4P,방울이액세사리
d_d002432,POI01000000B341CR,SONOBELLE
a_a001113,POI01000000AMDXNP,이마트동탄점
d_d003297,POI01000000C9MAXA,라임빌
d_d004294,POI01000000C9P48I,명가원룸
d_d006245,POI01000000EG67RU,미르빌
d_d003063,POI01000000EG67UX,M2K빌딩
d_d004503,POI010000006VWNAQ,동문시장고객지원센터
d_d005424,POI01000000B314AP,우림랜드
d_d001935,POI01000000ALD37E,삼양동해녀탈의장
d_d003735,POI01000000BG6IHS,청정제주마장
d_d000265,POI01000000EG6CLT,맥파이브루영캠퍼니
a_a003788,POI0100000078L286,보보스호텔
d_d000345,POI01000000CZR042,찜
d_d006863,POI01000000BG6NN3,외돌개관광단지
d_d009196,POI01000000E8720R,충혼묘지
d_d009146,POI01000000EHGEH2,제주신화월드테마파크
c_c003189,POI01000000B2MOYH,여수해양공원
d_d009418,POI01000000BSF3K1,안산버스터미널
d_d010419,POI01000000CD9XD4,용연구름다리
d_d005446,POI010000006GK6HP,남산케이블카
d_d001439,POI01000000EBRPYZ,곽지해변
d_d002262,POI010000006VW00T,아리랑빌딩
d_d002953,POI01000000B31Y5E,오설록티뮤지엄
d_d003531,POI01000000BXS2OM,양양국제공항
d_d005450,POI01000000B30YAI,약천사종무소
d_d006126,POI01000000BT8WY2,혜성교회
d_d010240,POI01000000668DZS,호텔앨리스앤트렁크
d_d011338,POI01000000B34DA1,제주양떼목장
d_d004349,POI01000000B31Y5E,오설록티뮤지엄
d_d001278,POI010000006LZF56,주차타워
b_b006613,POI01000000EGNUV2,거제파노라마케이블카
d_d010109,POI010000006W7RJF,걸매생태공원
d_d009319,POI01000000EG5KXC,성미가든
d_d012203,POI01000000BZ29J0,제주금호리조트
d_d000552,POI010000006W28LT,호텔RAOM
d_d001399,POI010000006W7BS8,ICC제주국제컨벤션센터
d_d009106,POI010000006VWNAQ,동문시장고객지원센터
d_d009241,POI01000000ALBFBS,카멜리아힐
d_d001704,POI01000000ALBLXK,지금여기에펜션
d_d003422,POI01000000BZ0IJ7,영보아파트
